Data Source	World Development Indicators																																																													
																																																														
Last Updated Date	30.01.2019																																																													
																																																														
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Aruba	ABW	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																												3.600697472	3.092279566	3.967816952	5.815737983	5.612128678	3.792574818	5.296520637	6.303147653	3.370639843	3.28021069	3.705589981	6.569144627	2.199880854	1.048270038	5.629057897	4.527475821	2.098111443	2.170962371	3.332795351	2.945295531	5.949807039	5.072878143	1.727072277	-0.677053973	3.107300649	0.789086084	-2.252234597	1.776821879	2.04106016	-1.452282496	0.686526038	
Afghanistan	AFG	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																																												11.65523822	11.27143207	10.91277354	7.199751293	22.52775621	2.096288748	-2.163404438	3.814630326	16.59334672	7.301756477	4.822785476	0.56694454	2.447563008	5.102712888	1.947722642	
Angola	AGO	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																						-2.100306165	0	0.01276356	0.001188112	19.03520574	-9.01306192	9.823311352	2.213774449	16.27966269	14.00743982	106.3099823	476.5157508	917.7834682	2175.978955	1825.495149	4800.531644	95.4530222	39.35934833	557.501113	418.0189915	106.3521255	196.9841053	93.92685443	33.44017865	42.3755606	17.11809761	4.308415536	19.36992059	-16.76108205	31.6891692	31.77154278	7.255710284	2.839744165	3.560822791	-3.51839026	21.77429952	22.61450476	
Albania	ALB	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																						-2.139571986	-0.0177191	-0.016755172	-0.028360257	0.351222347	-2.417300429	-0.000306093	-0.00057858	0.003679161	-0.431368813	38.56833787	233.0309074	125.5672486	35.84607085	9.99233974	38.17205748	11.23966436	6.730294778	2.103576838	5.643734138	3.814032987	3.644030107	5.197277046	3.156932531	3.303317724	2.480762005	4.389919899	4.117125552	2.422586742	4.490058232	2.31016048	1.039967663	0.290749297	1.554356302	0.562738359	-0.479323667	1.374240859	
Andorra	AND	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG												7.845870992	8.518077713	11.84943386	15.9452013	16.78179541	16.48985721	23.38309256	20.63104141	16.93168907	13.35481385	12.35117322	13.58234983	11.88423525	10.86473437	8.595463761	10.87881526	5.94419881	5.936124989	6.896207148	7.326243654	6.935149041	6.710771164	4.537231746	3.879852799	4.933123527	0.797176303	2.228160168	1.499556889	2.731977636	29.2262783	2.769518099	3.400407853	2.879863449	3.350368553	3.099596888	3.200492427	3.869810711	1.980073056	-1.38E-05	1.599942786	2.499867696	1.099913621	0.000360616	-0.100367069	-0.455465515	0.699897362	0.899930122	
Arab World	ARB	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG										1.169896318	3.235965706	6.884718905	2.683849056	11.50279685	26.9226785	5.599144132	7.524527584	9.724012	7.441071635	15.0505676	20.45221214	11.58229627	6.42084599	6.887496961	6.591178092	4.478420197	4.883974396	9.368089798	5.033812129	8.577774338	14.12140417	7.864711092	5.40526535	4.691343344	7.873717058	7.111222126	5.064819641	4.73548256	-1.715244867	6.626893976	10.44234504	0.716439379	3.970747733	5.944661394	11.02375244	12.85071196	9.418743551	7.466549279	15.35548006	-8.70527002	12.49017594	15.52939056	4.500643802	1.71941432	0.266076693	-4.25253145	0.54398743	6.007235035	
United Arab Emirates	ARE	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																	11.77433135	5.255756091	-3.661111495	7.051020544	9.515976035	7.054483982	1.312868729	-3.618017219	-6.097467186	0.74053289	-1.698485297	3.685584803	2.381045732	1.751276609	3.335900494	0.810848725	1.80682612	1.278036305	-0.262474922	3.907479754	5.773043907	-0.952300706	-4.254445321	8.443377455	11.4595358	-2.349307672	3.770839549	4.072406796	8.501422059	16.52601688	11.96242797	12.53396067	18.53335308	-15.18297988	12.49017594	13.16538942	2.237634058	-0.867150016	-1.014101843	-15.44540033	-3.197246522	6.310088273	
Argentina	ARG	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		20.31069753	28.87184165	25.59115435	28.77461732	21.23293492	25.60346243	29.01826294	10.27531056	7.795830037	6.467874639	31.27106388	64.24478592	65.53528737	30.63044137	197.6973645	438.3227797	159.4271777	161.372172	147.377044	95.79042461	105.2763664	194.5352997	380.1585285	611.1963039	607.4474978	77.29223669	127.5399181	381.2463444	3046.091152	2078.316818	140.5023787	16.07199354	-3.561095576	2.849339715	3.16512339	-0.052375497	-0.463913131	-1.705279624	-1.836558392	1.037287101	-1.095767718	30.55520405	10.49570302	18.36335425	10.3175112	13.74105249	14.93992502	23.17116498	15.37764937	20.91512427	23.70347218	22.31488067	23.94879842	40.28297163	26.5799916	40.07469064	25.3292251	
Armenia	ARM	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																																79.3861043	568.8072954	1391.166543	4107.29677	161.1639176	19.5917703	17.7359945	10.69849776	0.053804078	-1.373675994	4.069139932	2.369787815	4.561098399	6.309532721	3.239836249	4.619857666	4.232770382	5.989562359	2.556935054	7.768715482	4.281549998	5.345804416	3.366824642	2.30918243	1.213909904	0.268575076	2.231565793	
American Samoa	ASM	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																																												1.701221779	-3.366533814	-1.361674647	2.895669461	2.819807428	11.17476097	25.75488455	-15.4185022	-0.639031235	17.3495686	2.355602289	-0.626945515	1.532205307	1.447030774	2.610539471	
Antigua and Barbuda	ATG	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																			8.635282086	14.8454883	11.39877921	8.352613469	11.2726971	5.172482413	3.844239769	7.411259866	8.124940169	8.876444532	12.37059487	4.580706607	1.650256876	2.606173769	2.461605668	1.812866904	3.245330371	2.40313418	2.977139389	1.827374669	2.110117117	1.503616099	1.552082733	1.483866161	0.701495132	-0.96310438	1.641425434	4.460415547	0.40826506	3.738824164	4.38021507	1.788011398	1.440232725	1.199383856	2.480504613	-1.424103636	2.169780662	2.431673423	2.052720732	0.068789923	
Australia	AUS	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		3.222996023	-0.075705938	1.789188954	3.287209323	2.982969771	2.684415762	4.864998858	2.25205667	4.754019609	5.133212171	5.185336435	6.189037596	8.983272039	16.38147347	16.48962793	14.01838329	11.41853123	8.236034492	8.634894136	10.01569803	9.525962935	11.70903334	10.15768261	7.863346176	4.628539769	6.428492816	7.127190793	7.299369699	9.247962739	6.10436051	3.024697501	1.456668153	0.879713567	1.02697961	2.272651898	2.695782976	1.233343122	1.272896805	0.355066029	2.579481368	4.62148467	2.860257973	3.113409302	3.309029336	3.795763491	5.092929969	5.014311782	4.525093288	5.003473379	1.163802785	6.25869016	1.874443802	-0.157896221	1.439945165	-0.728029657	-0.45836818	3.701453585	
Austria	AUT	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		5.087153717	3.340203214	3.678266121	3.183788219	5.321415449	3.122366081	3.247762568	2.838031951	2.733572877	6.451391443	6.204372327	7.59993207	8.045543121	9.502138628	6.457775996	5.624919088	5.198712998	5.993015024	4.11437144	5.580629099	6.716667651	5.355289925	3.47278384	4.949773208	2.962995513	2.950997611	2.436948258	1.526854872	2.964760907	2.999680428	3.641871474	3.479093128	2.757084616	2.524942866	1.813918059	0.986204274	1.266998426	0.44190019	0.256350668	1.364041084	1.947103099	1.145600159	1.307550179	1.739720537	2.537792666	1.892161861	2.221175991	1.956320756	1.889266618	0.873054056	1.833409896	2.054236904	1.623888691	1.980457536	2.314823496	1.088852144	1.55636179	
Azerbaijan	AZE	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																																67.8415575	1140.310084	750.6718632	1386.067375	545.6563654	26.41916195	9.242504053	-0.965133967	2.162142358	12.4927737	2.5150101	3.120339705	6.007564856	8.313906521	16.14078305	11.30121955	20.98190417	27.76195318	-18.92973159	13.75655299	22.56608671	2.847939958	0.45752317	-0.558659406	-8.855123624	14.67140063	15.95333585	
